step,x,y,z,projected_x,projected_y,latitude,longitude,speed_mps,vx,vy,vz,wx,wy,wz,ax,ay,az,roll,pitch,heading,steering,throttle
0,0.0,0.0,0.0,-243.7116388932928,-475.7928970432566,3.18461153046242,101.61226883824813,13.888888709420144,-3.2357280254364014,13.506712913513184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8059294160200554,-2.5903678135819064e-08,-8.31322454272315
1,-0.24853937327861786,1.0410850048065186,0.014484331011772156,-243.9601782665714,-474.75181203845005,3.184620945420867,101.61226660213092,12.239404769010312,-2.8424830436706543,11.904760360717773,0.8276302814483643,-0.08231009542942047,-0.0221866462379694,-0.0015069798100739717,3.9324498176574707,-16.0195255279541,8.276302814483643,-0.003915106876741683,-0.00198836210300872,1.8051796695941709,0.0038518795381391555,-1.6304380011120183
2,-0.5260148644447327,2.200166702270508,0.07971802353858948,-244.23765375773752,-473.59273034098607,3.1846314274717513,101.61226410567447,10.672522654204668,-2.4970264434814453,10.376299858093262,0.910106897354126,-0.09918437898159027,-0.023746522143483162,0.009868884459137917,3.45456600189209,-15.284605026245117,0.8247661590576172,-0.004110709817024198,-0.010764740555668671,1.805457087755973,2.926254383086587e-05,0.3315084102739243
3,-0.7772200703620911,3.245901107788086,0.15131080150604248,-244.48885896365488,-472.5469959354685,3.1846408844765905,101.61226184557272,10.764075406750328,-2.5111019611358643,10.467076301574707,0.9205459952354431,-0.06238657236099243,-0.015450944192707539,0.001401270623318851,-0.14075517654418945,0.9077644348144531,0.10439097881317139,-0.00415556041462844,-0.019533009110645816,1.8061204978282686,-0.0023365944279826437,0.27189768897464084
4,-1.0282933712005615,4.294093608856201,0.22382764518260956,-244.73993226449335,-471.4988034344004,3.1846503637110044,101.6122595866576,10.839146606871285,-2.51812481880188,10.542587280273438,0.9238148927688599,-0.05650109425187111,-0.014891576021909714,-0.005865908227860928,-0.07022857666015625,0.7551097869873047,0.03268897533416748,-0.004258886903734311,-0.02582693885801954,1.8060073467714537,0.0005199558800560021,0.21949444391426498
5,-1.2807228565216064,5.349391460418701,0.2966034710407257,-244.9923617498144,-470.4435055828379,3.184659907202014,101.61225731554079,10.899756328476384,-2.5398237705230713,10.599716186523438,0.9243181943893433,-0.056337304413318634,-0.014238875359296799,0.00042010247125290334,-0.21698951721191406,0.5712890625,0.005033016204833984,-0.004313275207066724,-0.031672883298149906,1.8056547775326408,0.0019200097560006348,0.17473583881481758
6,-1.5351665019989014,6.410192966461182,0.36941248178482056,-245.2468053952917,-469.3827040767954,3.184669500464806,101.61225502630252,10.948006863811779,-2.5591275691986084,10.64470386505127,0.9240932464599609,-0.05758443847298622,-0.014194854535162449,0.004929933696985245,-0.1930379867553711,0.4498767852783203,-0.002249479293823242,-0.004341249841782866,-0.037523835729486386,1.805843462495873,-0.0002836245193673676,0.13746703047415698
7,-1.7908387184143066,7.475459098815918,0.43965956568717957,-245.5024776117071,-468.31743794444066,3.1846791341030345,101.61225272601072,10.98597010352324,-2.557898998260498,10.684039115905762,0.7607450485229492,0.07225770503282547,0.030743632465600967,0.0002820090448949486,0.012285709381103516,0.3933525085449219,-1.6334819793701172,-0.003675130575241674,-0.041458339989699014,1.8061862113281661,-0.0017630587569001932,0.10708684225613985
8,-2.0465335845947266,8.544459342956543,0.4928949475288391,-245.7581724778875,-467.24843770030003,3.184688801510376,101.61225042551504,11.015541122712271,-2.5558619499206543,10.714929580688477,0.5770593285560608,0.17234782874584198,0.05752260610461235,-0.004113218281418085,0.0203704833984375,0.30890464782714844,-1.8368571996688843,-0.002513688573155289,-0.030664679169067764,1.8061225118438429,-0.015100446946216987,0.08275900776965706
9,-2.3002896308898926,9.616809844970703,0.5257677435874939,-246.01192852418268,-466.17608719828587,3.1846984992155183,101.61224814246272,11.037945277180127,-2.4990875720977783,10.75131607055664,0.34010547399520874,0.09197387844324112,0.02616436593234539,-0.036135513335466385,0.5677437782287598,0.3638648986816406,-2.3695385456085205,-0.0017469040280408666,-0.014142973922299094,1.8046880334121853,0.0030230081142939105,0.06393186675135665
