label,host,in_docker,cpu_model,cpu_threads,gpu_name,gl_max_texture,gl_renderer,os,python,numpy,metadrive,timestamp,dataset,scenario_id,step_hz,sim_dt_s,physics_hz,physics_dt_s,decision_repeat,physics_ticks_per_sim_second,row,render,policy,sensors,camera_read_mode,camera_rig,camera_count,camera_size,camera_mb_per_step,camera_hz,stack_size,norm_pixel,observation_kind,force_fps,max_lateral_m,status,skip_reason,steps,measured_steps,warmup_steps,sim_seconds,wall_seconds,realtime_factor,reset_seconds,step_ms_mean,step_ms_median,step_ms_p95,step_ms_p99,step_ms_max,policy_ms_median,sensor_ms_median,rig_ms_median,arrive_dest,ended_by
keith-82y7,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-21-06:37:59,scenarionet-10hz,mosque-b1fe3e0cc9bc58ec-t,10.0,0.1,50.0,0.02,5,50.0,1,offscreen,replay,"camera x7,imu,gps",observation,cams.txt,7,512x288,5.419,10.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,400,380,20,38.0,12.485965050997038,3.043417136344267,4.837662610996631,29.62927014733922,29.563495500042336,30.708740951740765,31.676906060529287,34.20773099787766,0.001055501343216747,0.05021700053475797,3.119589000561973,yes,arrive_dest
keith-82y7,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-21-06:37:59,scenarionet-10hz,mosque-b1fe3e0cc9bc58ec-t,10.0,0.1,50.0,0.02,5,50.0,2,offscreen,idm,"camera x7,imu,gps",observation,cams.txt,7,512x288,5.419,10.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,418,398,20,39.800000000000004,13.4887269940009,2.9506120197777763,5.155955679001636,30.164287856760396,29.963018001581077,31.970322054621647,33.46770036048837,34.41174599720398,0.41157349915010855,0.05328299812390469,3.2114229979924858,no,ran out of budget
keith-82y7,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-21-06:37:59,scenarionet-10hz,,10.0,,50.0,,,,3,offscreen,remote,"camera x7,imu,gps",observation,cams.txt,7,512x288,5.419,10.0,3,True,image+state41,,20.0,skipped,needs --policy-url,,,,,,,,,,,,,,,,,
keith-82y7,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-21-06:37:59,scenarionet-10hz,mosque-b1fe3e0cc9bc58ec-t,10.0,0.1,50.0,0.02,5,50.0,4,offscreen,idm,camera x7,observation,cams.txt,7,512x288,5.419,10.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,418,398,20,39.800000000000004,13.394119678006973,2.9714532165448135,5.294170891000249,30.021670741523703,29.774901002383558,31.90037605127145,32.571482481507694,34.12739300256362,0.4059905004396569,0.00019599974621087313,3.1976950012904126,no,ran out of budget
keith-82y7,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-21-06:37:59,scenarionet-10hz,mosque-b1fe3e0cc9bc58ec-t,10.0,0.1,100.0,0.01,10,100.0,5,offscreen,idm,"camera x7,imu,gps",observation,cams.txt,7,512x288,5.419,10.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,418,398,20,39.800000000000004,13.573878421004338,2.9321022898225713,5.396922806998191,30.35169671084214,29.97170150410966,32.614471204942674,33.48765545772039,34.30590499920072,0.4084905012859963,0.0536974985152483,3.2307104993378744,no,ran out of budget
keith-82y7,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-21-06:37:59,scenarionet-10hz,mosque-b1fe3e0cc9bc58ec-t,10.0,0.1,50.0,0.02,5,50.0,6,none,idm,"imu,gps",none,cams.txt,0,,,,,,lidarstate161,UnlimitedFPS,20.0,ok,,418,398,20,39.800000000000004,0.6163383099992643,64.57492476826162,0.8486988680015202,1.317862216030024,1.3131760024407413,1.436974948956049,1.6260575060005065,1.762056999723427,0.18727999849943444,0.03880699659930542,0.0002220040187239647,no,ran out of budget
keith-82y7,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-21-06:37:59,scenarionet-100hz,mosque-b1fe3e0cc9bc58ec-t,100.0,0.01,100.0,0.01,1,100.0,1,offscreen,replay,"camera x7,imu,gps",observation,cams.txt,7,512x288,5.419,100.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,3998,3978,20,39.78,122.17913738099742,0.32558750088365745,5.546798135001154,27.338013498505894,27.240638999501243,28.50868019922927,30.407062300582766,42.00807000597706,0.0010900039342232049,0.05692549530067481,3.268071002821671,yes,arrive_dest
keith-82y7,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-21-06:37:59,scenarionet-100hz,mosque-b1fe3e0cc9bc58ec-t,100.0,0.01,100.0,0.01,1,100.0,2,offscreen,idm,"camera x7,imu,gps",observation,cams.txt,7,512x288,5.419,100.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,4175,4155,20,41.550000000000004,151.2914522870051,0.27463547591028625,6.385444713996549,32.477130746813806,32.38746999704745,34.25143310087151,36.04272561817197,46.57668100117007,0.44402500498108566,0.058915997215081006,3.3646039955783635,no,ran out of budget
keith-82y7,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-21-06:37:59,scenarionet-100hz,,100.0,,100.0,,,,3,offscreen,remote,"camera x7,imu,gps",observation,cams.txt,7,512x288,5.419,100.0,3,True,image+state41,,20.0,skipped,needs --policy-url,,,,,,,,,,,,,,,,,
keith-82y7,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-21-06:37:59,scenarionet-100hz,mosque-b1fe3e0cc9bc58ec-t,100.0,0.01,100.0,0.01,1,100.0,4,offscreen,idm,camera x7,observation,cams.txt,7,512x288,5.419,100.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,4175,4155,20,41.550000000000004,152.3431170729964,0.2727395946617726,6.986049195002124,32.75253623180432,32.61118399677798,34.6019147989864,37.01059319864726,55.40209400351159,0.45275599404703826,0.00023300526663661003,3.387042001122609,no,ran out of budget
