label,host,in_docker,cpu_model,cpu_threads,gpu_name,gl_max_texture,gl_renderer,os,python,numpy,metadrive,timestamp,dataset,scenario_id,step_hz,sim_dt_s,physics_hz,physics_dt_s,decision_repeat,physics_ticks_per_sim_second,row,render,policy,sensors,camera_read_mode,camera_rig,camera_count,camera_size,camera_mb_per_step,camera_hz,stack_size,norm_pixel,observation_kind,force_fps,max_lateral_m,status,skip_reason,steps,measured_steps,warmup_steps,sim_seconds,wall_seconds,realtime_factor,reset_seconds,step_ms_mean,step_ms_median,step_ms_p95,step_ms_p99,step_ms_max,policy_ms_median,sensor_ms_median,rig_ms_median,arrive_dest,ended_by
probe-gl,keith-82y7,yes,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.10.21,2.2.6,MetaDrive v0.4.3,2026-08-21-13:42:41,scenarionet-10hz,mosque-b1fe3e0cc9bc58ec-t,10.0,0.1,50.0,0.02,5,50.0,1,offscreen,replay,"camera,imu,gps",observation,,1,320x180,,10.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,220,200,20,20.0,0.8254728660031105,24.228537149668874,6.17762928600132,4.087395735004975,4.0515714972571,4.438043294794624,4.90728722361382,5.804152002383489,0.00022099993657320738,0.03738099985639565,0.00018500213627703488,no,ran out of budget
probe-gl,keith-82y7,yes,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,,Linux 7.0.0-29-generic,3.10.21,2.2.6,MetaDrive v0.4.3,2026-08-21-13:42:41,scenarionet-10hz,mosque-b1fe3e0cc9bc58ec-t,10.0,0.1,50.0,0.02,5,50.0,6,none,idm,"imu,gps",none,,0,,,,,,lidarstate161,UnlimitedFPS,20.0,ok,,220,200,20,20.0,0.24231934099952923,82.5357147205136,0.607390666998981,1.0368250505052856,1.03602500166744,1.113469853589777,1.177005049175932,1.2025190007989295,0.1419274994987063,0.03115350045845844,0.00017099955584853888,no,ran out of budget
