label,host,in_docker,cpu_model,cpu_threads,gpu_name,gl_max_texture,gl_renderer,os,python,numpy,metadrive,timestamp,dataset,scenario_id,step_hz,sim_dt_s,physics_hz,physics_dt_s,decision_repeat,physics_ticks_per_sim_second,row,render,policy,sensors,camera_read_mode,camera_size,stack_size,norm_pixel,observation_kind,force_fps,status,skip_reason,steps,measured_steps,warmup_steps,sim_seconds,wall_seconds,realtime_factor,reset_seconds,step_ms_mean,step_ms_median,step_ms_p95,step_ms_p99,step_ms_max,policy_ms_median,sensor_ms_median,arrive_dest,ended_by
keith-82y7,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-20-21:25:23,scenarionet-10hz,junction-1-57dcd345d17e5a86-test,10.0,0.1,50.0,0.02,5,50.0,1,offscreen,replay,"camera,imu,gps",observation,320x180,3,True,image+state41,UnlimitedFPS,ok,,352,332,20,33.2,6.455293778999476,5.143065697181293,12.281632232999982,19.26040775603713,18.12370049992751,26.849829951606807,34.54919558007531,38.08943200056092,0.0010545027180342004,0.15405249905597884,yes,arrive_dest
keith-82y7,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-20-21:25:23,scenarionet-10hz,junction-1-57dcd345d17e5a86-test,10.0,0.1,50.0,0.02,5,50.0,2,offscreen,idm,"camera,imu,gps",observation,320x180,3,True,image+state41,UnlimitedFPS,ok,,291,271,20,27.1,4.896039012000983,5.535086614623274,12.728005755001504,17.15865226926856,16.501461999723688,21.777729498353438,25.946509199638975,27.928990999498637,0.7137059983506333,0.14395200196304359,no,out_of_road
keith-82y7,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-20-21:25:23,scenarionet-100hz,junction-1-57dcd345d17e5a86-test,100.0,0.01,100.0,0.01,1,100.0,1,offscreen,replay,"camera,imu,gps",observation,320x180,3,True,image+state41,UnlimitedFPS,ok,,3516,3496,20,34.96,68.21804968300057,0.5124743401849521,12.484544869003003,19.34114220941381,18.288946499524172,25.72754675111355,32.38340514872108,45.7998130004853,0.001077001797966659,0.14895399908709805,yes,arrive_dest
keith-82y7,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-20-21:25:23,scenarionet-100hz,junction-1-57dcd345d17e5a86-test,100.0,0.01,100.0,0.01,1,100.0,2,offscreen,idm,"camera,imu,gps",observation,320x180,3,True,image+state41,UnlimitedFPS,ok,,2239,2219,20,22.19,69.22621637300108,0.32054330227203237,18.77347581900176,29.53696452230192,33.90832199875149,37.152661399159115,40.818128859536984,48.451749000378186,1.600808998773573,0.30034799783607014,no,out_of_road
