label,host,in_docker,cpu_model,cpu_threads,gpu_name,gl_max_texture,gl_renderer,os,python,numpy,metadrive,timestamp,dataset,scenario_id,step_hz,sim_dt_s,physics_hz,physics_dt_s,decision_repeat,physics_ticks_per_sim_second,row,render,policy,sensors,camera_read_mode,camera_size,stack_size,norm_pixel,observation_kind,force_fps,status,skip_reason,steps,measured_steps,warmup_steps,sim_seconds,wall_seconds,realtime_factor,reset_seconds,step_ms_mean,step_ms_median,step_ms_p95,step_ms_p99,step_ms_max,policy_ms_median,sensor_ms_median,arrive_dest,ended_by
laptop,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-20-19:28:06,scenarionet-10hz,junction-1-57dcd345d17e5a86-test,10.0,0.1,50.0,0.02,5,50.0,1,offscreen,replay,"imu,gps",observation,320x180,3,True,image+state41,UnlimitedFPS,ok,,352,332,20,33.2,5.730683219000639,5.793375542016031,10.837285519002762,17.105207340312308,16.804440998384962,21.385876101339818,25.739202247750654,31.813544999749865,0.0009830000635702163,0.14357800137076993,yes,arrive_dest
laptop,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-20-19:28:06,scenarionet-10hz,junction-1-57dcd345d17e5a86-test,10.0,0.1,50.0,0.02,5,50.0,2,offscreen,idm,"imu,gps",observation,320x180,3,True,image+state41,UnlimitedFPS,ok,,291,271,20,27.1,4.458194412000012,6.078694084550373,11.339328682999621,15.6281944096495,15.480487996683223,18.180081500759115,20.196106200455688,23.40039299815544,0.656897002045298,0.1359449997835327,no,out_of_road
laptop,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-20-19:28:06,scenarionet-100hz,junction-1-57dcd345d17e5a86-test,100.0,0.01,100.0,0.01,1,100.0,1,offscreen,replay,"imu,gps",observation,320x180,3,True,image+state41,UnlimitedFPS,ok,,3516,3496,20,34.96,57.4044097900005,0.6090124456969823,11.164844308998,16.27643339214866,16.111760001876974,18.799604249579716,22.07667729926471,41.0836270020809,0.0009689974831417203,0.133225999888964,yes,arrive_dest
laptop,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-20-19:28:06,scenarionet-100hz,junction-1-57dcd345d17e5a86-test,100.0,0.01,100.0,0.01,1,100.0,2,offscreen,idm,"imu,gps",observation,320x180,3,True,image+state41,UnlimitedFPS,ok,,2239,2219,20,22.19,38.63428037799895,0.5743603810629415,11.349270831000467,16.574019627243576,16.79057499859482,21.118537701477177,24.744361758930626,36.59890299968538,0.6788080027035903,0.1321519994235132,no,out_of_road
