label,host,in_docker,cpu_model,cpu_threads,gpu_name,gl_max_texture,gl_renderer,os,python,numpy,metadrive,timestamp,dataset,scenario_id,step_hz,sim_dt_s,physics_hz,physics_dt_s,decision_repeat,physics_ticks_per_sim_second,row,render,policy,sensors,camera_read_mode,camera_size,stack_size,norm_pixel,observation_kind,force_fps,status,skip_reason,steps,measured_steps,warmup_steps,sim_seconds,wall_seconds,realtime_factor,reset_seconds,step_ms_mean,step_ms_median,step_ms_p95,step_ms_p99,step_ms_max,policy_ms_median,sensor_ms_median,arrive_dest,ended_by
camera-price,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-20-21:47:37,scenarionet-10hz,junction-1-57dcd345d17e5a86-test,10.0,0.1,50.0,0.02,5,50.0,2,offscreen,idm,"camera,imu,gps",observation,320x180,3,True,image+state41,UnlimitedFPS,ok,,220,200,20,20.0,2.561568779001391,7.80771539845081,10.12090295300004,12.177822940066108,11.809425501269288,14.813015449908562,15.620546909121913,16.54748599685263,0.5019960008212365,0.10340900007577147,no,ran out of budget
camera-price,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-20-21:47:37,scenarionet-10hz,junction-1-57dcd345d17e5a86-test,10.0,0.1,50.0,0.02,5,50.0,6,none,idm,"imu,gps",none,,,,vector161,UnlimitedFPS,ok,,220,200,20,20.0,0.7130314109999745,28.049255182112468,1.171010459001991,3.0640963350197126,2.949757499663974,3.823015850866795,5.040533479987062,5.096928001876222,0.39579500116815325,0.08979099766293075,no,ran out of budget
camera-price,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,NVIDIA GeForce RTX 4050 Laptop GPU/PCIe/SSE2,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-20-21:47:37,scenarionet-100hz,junction-1-57dcd345d17e5a86-test,100.0,0.01,100.0,0.01,1,100.0,2,offscreen,idm,"camera,imu,gps",observation,320x180,3,True,image+state41,UnlimitedFPS,ok,,220,200,20,2.0,2.585030692000146,0.7736852046628958,9.935522701998707,12.312662710064615,11.802980499851401,15.211664599155482,16.645141042026804,18.155701000068802,0.48146049994102214,0.10535200090089347,no,ran out of budget
camera-price,keith-82y7,no,13th Gen Intel(R) Core(TM) i7-13700H,20,NVIDIA GeForce RTX 4050 Laptop GPU,32768,,Linux 7.0.0-29-generic,3.8.20,1.24.4,MetaDrive v0.4.3,2026-08-20-21:47:37,scenarionet-100hz,junction-1-57dcd345d17e5a86-test,100.0,0.01,100.0,0.01,1,100.0,6,none,idm,"imu,gps",none,,,,vector161,UnlimitedFPS,ok,,220,200,20,2.0,0.6119657499984896,3.2681567555127655,1.254738522999105,2.5929431700387795,2.5158944990835153,3.0991443494713167,3.3364337489911113,3.495635999570368,0.36611550058296416,0.08416550008405466,no,ran out of budget
